Jan 1,Monday,Western New Year,
Jan 6,Saturday,Epiphany,
Jan 7,Sunday,Orthodox Christmas,orthodox
Jan 14,Sunday,Orthodox New Year,orthodox
Jan 14,Sunday,Tamil Thai Pongal Day,solar
Jan 16,Tuesday,Start of Ramadan (Umm al-Qura),muslim
Jan 19,Friday,Aquarius (UTC),solar
Jan 30,Tuesday,Thaipusam,hindu solar
Feb 1,Thursday,Nuzul Quran / Revelation of the Qur'an (Umm al-Qura),muslim
Feb 9,Friday,Jumatul Bidah / Friday of Farewell (Umm al-Qura),muslim
Feb 11,Sunday,Lailat al Qadr / Night of Destiny (Umm al-Qura),muslim
Feb 11,Sunday,Maha Shivaratree,hindu lunar
Feb 13,Tuesday,Chinese New Year / Spring Festival,chinese lunar
Feb 13,Tuesday,Seol-nal / Korean New Year,korean lunar
Feb 13,Tuesday,Shrove Tuesday / Carnival,easter
Feb 13,Tuesday,Tet Nguyen Dan / Vietnamese New Year,vietnamese lunar
Feb 14,Wednesday,Ash Wednesday,easter
Feb 14,Wednesday,Dangpa Losar / Bhutanese New Year (Year of the Earth Female Bird),bhutanese lunar
Feb 14,Wednesday,Eid al Fitr / End of Ramadan (Umm al-Qura),muslim
Feb 14,Wednesday,Losar / Tibetan New Year,tibetan lunar
Feb 14,Wednesday,Tsagaan Sar / Mongolian New Year (Year of the Yellow Hen),mongolian lunar
Feb 18,Sunday,Pisces (UTC),solar
Feb 19,Monday,Orthodox Clean Monday,orth. easter
Feb 20,Tuesday,Orthodox Shrove Tuesday,orth. easter
Feb 21,Wednesday,Orthodox Ash Wednesday,orth. easter
Mar 1,Thursday,Holi Phagwa,hindu lunar
Mar 1,Thursday,Purim,jewish
Mar 8,Thursday,International Women's Day,
Mar 8,Thursday,Mi-Carême / Mid-Lent,easter
Mar 20,Tuesday,Aries (UTC),solar
Mar 20,Tuesday,Vernal Equinox / Spring (UTC),solar
Mar 25,Sunday,Palm Sunday,easter
Mar 29,Thursday,Maundy Thursday,easter
Mar 30,Friday,Good Friday,easter
Mar 31,Saturday,Pesach / Jewish Passover,jewish
Apr 1,Sunday,Easter,easter
Apr 2,Monday,Easter Monday,easter
Apr 4,Wednesday,Qing Ming Jie / Tomb Sweeping Day,chinese solar
Apr 6,Friday,Orthodox Good Friday,orth. easter
Apr 7,Saturday,Orthodox Holy Saturday,orth. easter
Apr 8,Sunday,Orthodox Easter,orth. easter
Apr 9,Monday,Orthodox Easter Monday,orth. easter
Apr 13,Friday,Cambodian New Year,solar
Apr 13,Friday,Laotian New Year,
Apr 15,Sunday,Ougadi / Ugaadi,hindu lunar
Apr 17,Tuesday,Burmese New Year,
Apr 19,Thursday,Taurus (UTC),solar
Apr 23,Monday,Arafat Day (Umm al-Qura),muslim
Apr 23,Monday,Ram Navami,hindu lunar
Apr 24,Tuesday,Eid al Adha / Feast of Sacrifice (Umm al-Qura),muslim
Apr 26,Thursday,Mahavir Jayanti / Janma Kalyanak,hindu lunar
April 27,Friday,Great Prayer Day,easter
May 1,Tuesday,International Labour Day,
May 10,Thursday,Ascension Day,easter
May 14,Monday,Islamic New Year / Hijra New Year (1451) (Umm al-Qura),muslim
May 20,Sunday,Gemini (UTC),solar
May 20,Sunday,Shavuot,jewish
May 20,Sunday,Whit Sunday / Pentecost,easter
May 21,Monday,Whit Monday,easter
May 23,Wednesday,Ashura (Umm al-Qura),muslim
May 28,Monday,Orthodox Pentecost Monday,orth. easter
May 31,Thursday,Corpus Christi,easter
June 16,Saturday,Duan Wu Jie / Dragon Boat Festival,chinese lunar
June 21,Thursday,Cancer (UTC),solar
June 21,Thursday,Summer Solstice / Summer (UTC),solar
June 30,Saturday,Magal de Touba (Umm al-Qura),muslim
July 22,Sunday,Leo (UTC),solar
July 24,Tuesday,Mawlid an Nabi / The Prophet's Birthday (Umm al-Qura),muslim
Jul 31,Tuesday,Baptism of the Prophet (Umm al-Qura),muslim
Aug 14,Tuesday,Parsi New Year,zoroastrian
Aug 15,Wednesday,Assumption,
Aug 22,Wednesday,Onam / Thiruonam,hindu solar
Aug 22,Wednesday,Virgo (UTC),solar
Sep 10,Monday,Rosh Hashanah / Jewish New Year (5790),jewish
Sep 12,Wednesday,Ganesh Chaturthi / Vinayaka Chaturthi / Chaturthi Paksha,hindu lunar
Sep 19,Wednesday,Yom Kippur,jewish
Sep 22,Saturday,Autumnal Equinox / Fall (UTC),solar
Sep 22,Saturday,Libra (UTC),solar
Sep 22,Saturday,Zhong Qu Jie / Mid Autumn Festival,chinese lunar
Sep 24,Monday,Sukkot,jewish
Oct 8,Monday,Canadian Thanksgiving,
Oct 16,Tuesday,Dassain,hindu lunar
Oct 23,Tuesday,Scorpio (UTC),solar
Oct 31,Wednesday,Reformation Day,
Nov 1,Thursday,All Saints' Day,
Nov 2,Friday,All Souls' Day,
Nov 5,Monday,Northern Deepavali / Diwali Amavasya,hindu lunar
Nov 5,Monday,Southern Deepavali / Diwali Krisna Chaturdasi,hindu lunar
Nov 21,Wednesday,Guru Nanak Jayanti,hindu lunar
Nov 22,Thursday,Sagittarius (UTC),solar
Nov 22,Thursday,US Thanksgiving,
Dec 2,Sunday,First Sunday in Advent,
Dec 3,Monday,Lailat al Miraj / The Prophet's Ascension (Umm al-Qura),muslim
Dec 8,Saturday,Immaculate Conception,
Dec 9,Sunday,Second Sunday in Advent,
Dec 16,Sunday,Third Sunday in Advent,
Dec 21,Friday,Capricorn (UTC),solar
Dec 21,Friday,Lailat al Bara'a / Night of Emancipation (Umm al-Qura),muslim
Dec 21,Friday,Winter Solstice / Winter (UTC),solar
Dec 23,Sunday,Fourth Sunday in Advent,
Dec 25,Tuesday,Western Christmas,
Dec 26,Wednesday,Boxing Day / Saint Stephen's Day,
Dec 31,Monday,Western New Year's Eve,
Dec 31,Sunday,Western New Year's Eve,
