Jan 1,Saturday,Western New Year,
Jan 6,Thursday,Epiphany,
Jan 7,Friday,Orthodox Christmas,orthodox
Jan 12,Wednesday,Lailat al Bara'a / Night of Emancipation (Umm al-Qura),muslim
Jan 14,Friday,Orthodox New Year,orthodox
Jan 15,Saturday,Tamil Thai Pongal Day,solar
Jan 20,Thursday,Aquarius (UTC),solar
Jan 26,Wednesday,Chinese New Year / Spring Festival,chinese lunar
Jan 26,Wednesday,Tet Nguyen Dan / Vietnamese New Year,vietnamese lunar
Jan 27,Thursday,Seol-nal / Korean New Year,korean lunar
Jan 28,Friday,Start of Ramadan (Umm al-Qura),muslim
Feb 9,Wednesday,Thaipusam,hindu solar
Feb 13,Sunday,Nuzul Quran / Revelation of the Qur'an (Umm al-Qura),muslim
Feb 19,Saturday,Pisces (UTC),solar
Feb 23,Wednesday,Lailat al Qadr / Night of Destiny (Umm al-Qura),muslim
Feb 23,Wednesday,Maha Shivaratree,hindu lunar
Feb 25,Friday,Jumatul Bidah / Friday of Farewell (Umm al-Qura),muslim
Feb 26,Saturday,Dangpa Losar / Bhutanese New Year (Year of the Earth Male Monkey),bhutanese lunar
Feb 26,Saturday,Eid al Fitr / End of Ramadan (Umm al-Qura),muslim
Feb 26,Saturday,Losar / Tibetan New Year,tibetan lunar
Feb 26,Saturday,Tsagaan Sar / Mongolian New Year (Year of the Earth Male Monkey),mongolian lunar
Feb 28,Monday,Orthodox Clean Monday,orth. easter
Feb 29,Tuesday,Orthodox Shrove Tuesday,orth. easter
Feb 29,Tuesday,Shrove Tuesday / Carnival,easter
Mar 1,Wednesday,Ash Wednesday,easter
Mar 1,Wednesday,Orthodox Ash Wednesday,orth. easter
Mar 8,Wednesday,International Women's Day,
Mar 11,Saturday,Holi Phagwa,hindu lunar
Mar 12,Sunday,Purim,jewish
Mar 20,Monday,Aries (UTC),solar
Mar 20,Monday,Vernal Equinox / Spring (UTC),solar
Mar 23,Thursday,Mi-Carême / Mid-Lent,easter
Mar 27,Monday,Ougadi / Ugaadi,hindu lunar
Apr 4,Tuesday,Qing Ming Jie / Tomb Sweeping Day,chinese solar
Apr 4,Tuesday,Ram Navami,hindu lunar
Apr 7,Friday,Mahavir Jayanti / Janma Kalyanak,hindu lunar
Apr 9,Sunday,Palm Sunday,easter
Apr 11,Tuesday,Pesach / Jewish Passover,jewish
Apr 13,Thursday,Cambodian New Year,solar
Apr 13,Thursday,Laotian New Year,
Apr 13,Thursday,Maundy Thursday,easter
Apr 14,Friday,Good Friday,easter
Apr 14,Friday,Orthodox Good Friday,orth. easter
Apr 15,Saturday,Orthodox Holy Saturday,orth. easter
Apr 16,Sunday,Easter,easter
Apr 16,Sunday,Orthodox Easter,orth. easter
Apr 17,Monday,Burmese New Year,
Apr 17,Monday,Easter Monday,easter
Apr 17,Monday,Orthodox Easter Monday,orth. easter
Apr 19,Wednesday,Taurus (UTC),solar
May 1,Monday,International Labour Day,
May 4,Thursday,Arafat Day (Umm al-Qura),muslim
May 5,Friday,Eid al Adha / Feast of Sacrifice (Umm al-Qura),muslim
May 12,Friday,Great Prayer Day,easter
May 20,Saturday,Gemini (UTC),solar
May 25,Thursday,Ascension Day,easter
May 25,Thursday,Islamic New Year / Hijra New Year (1450) (Umm al-Qura),muslim
May 28,Sunday,Duan Wu Jie / Dragon Boat Festival,chinese lunar
May 31,Wednesday,Shavuot,jewish
June 3,Saturday,Ashura (Umm al-Qura),muslim
June 4,Sunday,Whit Sunday / Pentecost,easter
June 5,Monday,Orthodox Pentecost Monday,orth. easter
June 5,Monday,Whit Monday,easter
June 15,Thursday,Corpus Christi,easter
June 20,Tuesday,Cancer (UTC),solar
June 20,Tuesday,Summer Solstice / Summer (UTC),solar
July 11,Tuesday,Magal de Touba (Umm al-Qura),muslim
July 22,Saturday,Leo (UTC),solar
Aug 3,Thursday,Mawlid an Nabi / The Prophet's Birthday (Umm al-Qura),muslim
Aug 10,Thursday,Baptism of the Prophet (Umm al-Qura),muslim
Aug 14,Monday,Parsi New Year,zoroastrian
Aug 15,Tuesday,Assumption,
Aug 22,Tuesday,Virgo (UTC),solar
Aug 23,Wednesday,Ganesh Chaturthi / Vinayaka Chaturthi / Chaturthi Paksha,hindu lunar
Sep 1,Friday,Onam / Thiruonam,hindu solar
Sep 21,Thursday,Rosh Hashanah / Jewish New Year (5789),jewish
Sep 22,Friday,Autumnal Equinox / Fall (UTC),solar
Sep 22,Friday,Libra (UTC),solar
Sep 27,Wednesday,Dassain,hindu lunar
Sep 30,Saturday,Yom Kippur,jewish
Oct 3,Tuesday,Zhong Qu Jie / Mid Autumn Festival,chinese lunar
Oct 5,Thursday,Sukkot,jewish
Oct 9,Monday,Canadian Thanksgiving,
Oct 17,Tuesday,Northern Deepavali / Diwali Amavasya,hindu lunar
Oct 17,Tuesday,Southern Deepavali / Diwali Krisna Chaturdasi,hindu lunar
Oct 22,Sunday,Scorpio (UTC),solar
Oct 31,Tuesday,Reformation Day,
Nov 1,Wednesday,All Saints' Day,
Nov 2,Thursday,All Souls' Day,
Nov 21,Tuesday,Sagittarius (UTC),solar
Nov 23,Thursday,US Thanksgiving,
Dec 2,Saturday,Guru Nanak Jayanti,hindu lunar
Dec 3,Sunday,First Sunday in Advent,
Dec 8,Friday,Immaculate Conception,
Dec 10,Sunday,Second Sunday in Advent,
Dec 14,Thursday,Lailat al Miraj / The Prophet's Ascension (Umm al-Qura),muslim
Dec 17,Sunday,Third Sunday in Advent,
Dec 21,Thursday,Capricorn (UTC),solar
Dec 21,Thursday,Winter Solstice / Winter (UTC),solar
Dec 24,Sunday,Fourth Sunday in Advent,
Dec 25,Monday,Western Christmas,
Dec 26,Tuesday,Boxing Day / Saint Stephen's Day,
Dec 31,Sunday,Lailat al Bara'a / Night of Emancipation (Umm al-Qura),muslim
Dec 31,Sunday,Western New Year's Eve,
