June 21,Friday,Cancer (UTC),solar
June 21,Friday,Summer Solstice / Summer (UTC),solar
July 13,Saturday,Mawlid an Nabi / The Prophet's Birthday (Umm al-Qura),muslim
July 20,Saturday,Baptism of the Prophet (Umm al-Qura),muslim
Jul 22,Monday,Leo (UTC),solar
Aug 14,Wednesday,Parsi New Year,zoroastrian
Aug 15,Thursday,Assumption,
Aug 23,Friday,Virgo (UTC),solar
Sep 1,Sunday,Ganesh Chaturthi / Vinayaka Chaturthi / Chaturthi Paksha,hindu lunar
Sep 9,Monday,Onam / Thiruonam,hindu solar
Sep 12,Thursday,Zhong Qu Jie / Mid Autumn Festival,chinese lunar
Sep 22,Sunday,Autumnal Equinox / Fall (UTC),solar
Sep 22,Sunday,Libra (UTC),solar
Sep 28,Saturday,Rosh Hashanah / Jewish New Year (5791),jewish
Oct 6,Sunday,Dassain,hindu lunar
Oct 7,Monday,Yom Kippur,jewish
Oct 12,Saturday,Sukkot,jewish
Oct 14,Monday,Canadian Thanksgiving,
Oct 23,Wednesday,Scorpio (UTC),solar
Oct 26,Saturday,Northern Deepavali / Diwali Amavasya,hindu lunar
Oct 26,Saturday,Southern Deepavali / Diwali Krisna Chaturdasi,hindu lunar
Oct 31,Thursday,Reformation Day,
Nov 1,Friday,All Saints' Day,
Nov 2,Saturday,All Souls' Day,
Nov 10,Sunday,Guru Nanak Jayanti,hindu lunar
Nov 22,Friday,Sagittarius (UTC),solar
Nov 23,Saturday,Lailat al Miraj / The Prophet's Ascension (Umm al-Qura),muslim
Nov 28,Thursday,US Thanksgiving,
Dec 1,Sunday,First Sunday in Advent,
Dec 8,Sunday,Immaculate Conception,
Dec 8,Sunday,Second Sunday in Advent,
Dec 10,Tuesday,Lailat al Bara'a / Night of Emancipation (Umm al-Qura),muslim
Dec 15,Sunday,Third Sunday in Advent,
Dec 21,Saturday,Capricorn (UTC),solar
Dec 21,Saturday,Winter Solstice / Winter (UTC),solar
Dec 22,Sunday,Fourth Sunday in Advent,
Dec 25,Wednesday,Western Christmas,
Dec 26,Thursday,Boxing Day / Saint Stephen's Day,
Dec 26,Thursday,Start of Ramadan (Umm al-Qura),muslim
Dec 31,Tuesday,Western New Year's Eve,
