Jan 1,Tuesday,Western New Year,
Jan 5,Saturday,Start of Ramadan (Umm al-Qura),muslim
Jan 6,Sunday,Epiphany,
Jan 7,Monday,Orthodox Christmas,orthodox
Jan 14,Monday,Orthodox New Year,orthodox
Jan 14,Monday,Tamil Thai Pongal Day,solar
Jan 20,Sunday,Aquarius (UTC),solar
Jan 20,Sunday,Thaipusam,hindu solar
Jan 21,Monday,Nuzul Quran / Revelation of the Qur'an (Umm al-Qura),muslim
Jan 31,Thursday,Lailat al Qadr / Night of Destiny (Umm al-Qura),muslim
Feb 1,Friday,Jumatul Bidah / Friday of Farewell (Umm al-Qura),muslim
Feb 2,Saturday,Tet Nguyen Dan / Vietnamese New Year,vietnamese lunar
Feb 3,Sunday,Chinese New Year / Spring Festival,chinese lunar
Feb 3,Sunday,Seol-nal / Korean New Year,korean lunar
Feb 3,Sunday,Tsagaan Sar / Mongolian New Year (Year of the Iron Male Dog),mongolian lunar
Feb 4,Monday,Eid al Fitr / End of Ramadan (Umm al-Qura),muslim
Feb 18,Monday,Pisces (UTC),solar
Mar 2,Saturday,Maha Shivaratree,hindu lunar
Mar 5,Tuesday,Dangpa Losar / Bhutanese New Year (Year of the Iron Male Dog),bhutanese lunar
Mar 5,Tuesday,Losar / Tibetan New Year,tibetan lunar
Mar 5,Tuesday,Shrove Tuesday / Carnival,easter
Mar 6,Wednesday,Ash Wednesday,easter
Mar 8,Friday,International Women's Day,
Mar 11,Monday,Orthodox Clean Monday,orth. easter
Mar 12,Tuesday,Orthodox Shrove Tuesday,orth. easter
Mar 13,Wednesday,Orthodox Ash Wednesday,orth. easter
Mar 19,Tuesday,Purim,jewish
Mar 20,Wednesday,Aries (UTC),solar
Mar 20,Wednesday,Holi Phagwa,hindu lunar
Mar 20,Wednesday,Vernal Equinox / Spring (UTC),solar
Mar 28,Thursday,Mi-Carême / Mid-Lent,easter
Apr 4,Thursday,Ougadi / Ugaadi,hindu lunar
Apr 5,Friday,Qing Ming Jie / Tomb Sweeping Day,chinese solar
Apr 12,Friday,Arafat Day (Umm al-Qura),muslim
Apr 12,Friday,Ram Navami,hindu lunar
Apr 13,Saturday,Eid al Adha / Feast of Sacrifice (Umm al-Qura),muslim
Apr 13,Saturday,Laotian New Year,
Apr 14,Sunday,Cambodian New Year,solar
Apr 14,Sunday,Palm Sunday,easter
Apr 16,Tuesday,Mahavir Jayanti / Janma Kalyanak,hindu lunar
Apr 17,Wednesday,Burmese New Year,
Apr 18,Thursday,Maundy Thursday,easter
Apr 18,Thursday,Pesach / Jewish Passover,jewish
Apr 19,Friday,Good Friday,easter
Apr 20,Saturday,Taurus (UTC),solar
Apr 21,Sunday,Easter,easter
Apr 22,Monday,Easter Monday,easter
Apr 26,Friday,Orthodox Good Friday,orth. easter
Apr 27,Saturday,Orthodox Holy Saturday,orth. easter
Apr 28,Sunday,Orthodox Easter,orth. easter
Apr 29,Monday,Orthodox Easter Monday,orth. easter
May 1,Wednesday,International Labour Day,
May 3,Friday,Islamic New Year / Hijra New Year (1452) (Umm al-Qura),muslim
May 12,Sunday,Ashura (Umm al-Qura),muslim
May 17,Friday,Great Prayer Day,easter
May 20,Monday,Gemini (UTC),solar
May 30,Thursday,Ascension Day,easter
June 5,Wednesday,Duan Wu Jie / Dragon Boat Festival,chinese lunar
June 7,Friday,Shavuot,jewish
June 9,Sunday,Whit Sunday / Pentecost,easter
June 10,Monday,Whit Monday,easter
June 17,Monday,Orthodox Pentecost Monday,orth. easter
June 19,Wednesday,Magal de Touba (Umm al-Qura),muslim
June 20,Thursday,Corpus Christi,easter
