Jan 1,Thursday,Western New Year,
Jan 6,Tuesday,Epiphany,
Jan 7,Wednesday,Orthodox Christmas,orthodox
Jan 14,Wednesday,Orthodox New Year,orthodox
Jan 14,Wednesday,Tamil Thai Pongal Day,solar
Jan 16,Friday,Lailat al Miraj / The Prophet's Ascension (Umm al-Qura),muslim
Jan 20,Tuesday,Aquarius (UTC),solar
Feb 1,Sunday,Thaipusam,hindu solar
Feb 3,Tuesday,Lailat al Bara'a / Night of Emancipation (Umm al-Qura),muslim
Feb 15,Sunday,Maha Shivaratree,hindu lunar
Feb 17,Tuesday,Chinese New Year / Spring Festival,chinese lunar
Feb 17,Tuesday,Seol-nal / Korean New Year,korean lunar
Feb 17,Tuesday,Shrove Tuesday / Carnival,easter
Feb 17,Tuesday,Tet Nguyen Dan / Vietnamese New Year,vietnamese lunar
Feb 18,Wednesday,Ash Wednesday,easter
Feb 18,Wednesday,Dangpa Losar / Bhutanese New Year (Year of the Fire Male Horse),bhutanese lunar
Feb 18,Wednesday,Losar / Tibetan New Year,tibetan lunar
Feb 18,Wednesday,Pisces (UTC),solar
Feb 18,Wednesday,Start of Ramadan (Umm al-Qura),muslim
Feb 18,Wednesday,Tsagaan Sar / Mongolian New Year (Year of the Fire Horse),mongolian lunar
Feb 23,Monday,Orthodox Clean Monday,orth. easter
Feb 24,Tuesday,Orthodox Shrove Tuesday,orth. easter
Feb 25,Wednesday,Orthodox Ash Wednesday,orth. easter
Mar 3,Tuesday,Holi Phagwa,hindu lunar
Mar 3,Tuesday,Purim,jewish
Mar 6,Friday,Nuzul Quran / Revelation of the Qur'an (Umm al-Qura),muslim
Mar 8,Sunday,International Women's Day,
Mar 12,Thursday,Mi-Carême / Mid-Lent,easter
Mar 13,Friday,Jumatul Bidah / Friday of Farewell (Umm al-Qura),muslim
Mar 16,Monday,Lailat al Qadr / Night of Destiny (Umm al-Qura),muslim
Mar 20,Friday,Aries (UTC),solar
Mar 20,Friday,Eid al Fitr / End of Ramadan (Umm al-Qura),muslim
Mar 20,Friday,Ougadi / Ugaadi,hindu lunar
Mar 20,Friday,Vernal Equinox / Spring (UTC),solar
Mar 27,Friday,Ram Navami,hindu lunar
Mar 29,Sunday,Palm Sunday,easter
Mar 31,Tuesday,Mahavir Jayanti / Janma Kalyanak,hindu lunar
Apr 2,Thursday,Maundy Thursday,easter
Apr 2,Thursday,Pesach / Jewish Passover,jewish
Apr 3,Friday,Good Friday,easter
Apr 5,Sunday,Easter,easter
Apr 5,Sunday,Qing Ming Jie / Tomb Sweeping Day,chinese solar
Apr 6,Monday,Easter Monday,easter
Apr 10,Friday,Orthodox Good Friday,orth. easter
Apr 11,Saturday,Orthodox Holy Saturday,orth. easter
Apr 12,Sunday,Orthodox Easter,orth. easter
Apr 13,Monday,Laotian New Year,
Apr 13,Monday,Orthodox Easter Monday,orth. easter
Apr 14,Tuesday,Cambodian New Year,solar
Apr 17,Friday,Burmese New Year,
Apr 20,Monday,Taurus (UTC),solar
May 1,Friday,Great Prayer Day,easter
May 1,Friday,International Labour Day,
May 14,Thursday,Ascension Day,easter
May 21,Thursday,Gemini (UTC),solar
May 22,Friday,Shavuot,jewish
May 24,Sunday,Whit Sunday / Pentecost,easter
May 25,Monday,Whit Monday,easter
May 26,Tuesday,Arafat Day (Umm al-Qura),muslim
May 27,Wednesday,Eid al Adha / Feast of Sacrifice (Umm al-Qura),muslim
June 1,Monday,Orthodox Pentecost Monday,orth. easter
June 4,Thursday,Corpus Christi,easter
June 16,Tuesday,Islamic New Year / Hijra New Year (1448) (Umm al-Qura),muslim
June 19,Friday,Duan Wu Jie / Dragon Boat Festival,chinese lunar
June 21,Sunday,Cancer (UTC),solar
June 21,Sunday,Summer Solstice / Summer (UTC),solar
June 25,Thursday,Ashura (Umm al-Qura),muslim
July 22,Wednesday,Leo (UTC),solar
Aug 1,Saturday,Magal de Touba (Umm al-Qura),muslim
Aug 15,Saturday,Assumption,
Aug 15,Saturday,Parsi New Year,zoroastrian
Aug 23,Sunday,Virgo (UTC),solar
Aug 25,Tuesday,Mawlid an Nabi / The Prophet's Birthday (Umm al-Qura),muslim
Aug 26,Wednesday,Onam / Thiruonam,hindu solar
Sep 1,Tuesday,Baptism of the Prophet (Umm al-Qura),muslim
Sep 12,Saturday,Rosh Hashanah / Jewish New Year (5787),jewish
Sep 15,Tuesday,Ganesh Chaturthi / Vinayaka Chaturthi / Chaturthi Paksha,hindu lunar
Sep 21,Monday,Yom Kippur,jewish
Sep 23,Wednesday,Autumnal Equinox / Fall (UTC),solar
Sep 23,Wednesday,Libra (UTC),solar
Sep 25,Friday,Zhong Qu Jie / Mid Autumn Festival,chinese lunar
Sep 26,Saturday,Sukkot,jewish
Oct 12,Monday,Canadian Thanksgiving,
Oct 21,Wednesday,Dassain,hindu lunar
Oct 23,Friday,Scorpio (UTC),solar
Oct 31,Saturday,Reformation Day,
Nov 1,Sunday,All Saints' Day,
Nov 2,Monday,All Souls' Day,
Nov 8,Sunday,Northern Deepavali / Diwali Amavasya,hindu lunar
Nov 8,Sunday,Southern Deepavali / Diwali Krisna Chaturdasi,hindu lunar
Nov 22,Sunday,Sagittarius (UTC),solar
