Jan 7,Sunday,International Programmers' Day
Jan 21,Sunday,World Religion Day
Jan 26,Friday,International Customs Day
Jan 28,Sunday,World Leprosy Day
Feb 2,Friday,World Wetlands Day
Feb 4,Sunday,World Cancer Day
Feb 11,Sunday,World Day of the Sick
1 Mar,Thursday,Self-Injury Awareness Day
Mar 8,Thursday,World Kidney Day
Mar 15,Thursday,Long Covid Awareness Day
Mar 31,Saturday,Earth Hour
Mar 31,Saturday,International Transgender Day of Visibility
Apr 1,Sunday,April Fool's Day
Apr 13,Friday,Friday the 13th
Apr 15,Sunday,World Art Day
Apr 18,Wednesday,International Day for Monuments and Sites
May 6,Sunday,International Family Equality Day
May 8,Tuesday,World Ovarian Cancer Day
May 8,Tuesday,World Red Cross and Red Crescent Day
May 12,Saturday,International Nurses Day
May 20,Sunday,World Autoimmune / Autoinflammatory Arthritis Day
May 25,Friday,African Liberation Day
Jul 13,Friday,Friday the 13th
Aug 31,Friday,International Overdose Awareness Day
Sep 4,Tuesday,World Sexual Health Day
Sep 7,Friday,Still's Disease Awareness Day
Sep 10,Monday,World Suicide Prevention Day
Sep 13,Thursday,International Programmers' Day
Sep 23,Sunday,International Celebrate Bisexuality Day
Sep 28,Friday,World Rabies Day
Sep 29,Saturday,World Heart Day
Oct 1,Monday,World Vegetarian Day
Oct 6,Saturday,World Cerebral Palsy Day
Oct 11,Thursday,World Sight Day
Oct 29,Monday,World Stroke Day
Nov 1,Thursday,World Vegan Day
Nov 11,Sunday,Singles' Day
Nov 12,Monday,World Pneumonia Day
Nov 16,Friday,Fake Friday
Nov 17,Saturday,World Prematurity Day
Nov 19,Monday,International Men's Day
Nov 20,Tuesday,Transgender Day of Remembrance
Nov 27,Tuesday,GivingTuesday
Dec 10,Monday,Green Monday
Dec 22,Saturday,Super Saturday
