Jan 7,Thursday,International Programmers' Day
Jan 17,Sunday,World Religion Day
Jan 26,Tuesday,International Customs Day
Jan 31,Sunday,World Leprosy Day
Feb 2,Tuesday,World Wetlands Day
Feb 4,Thursday,World Cancer Day
Feb 11,Thursday,World Day of the Sick
Mar 1,Monday,Self-Injury Awareness Day
Mar 11,Thursday,World Kidney Day
Mar 15,Monday,Long Covid Awareness Day
Mar 27,Saturday,Earth Hour
Mar 31,Wednesday,International Transgender Day of Visibility
Apr 1,Thursday,April Fool's Day
Apr 15,Thursday,World Art Day
Apr 18,Sunday,International Day for Monuments and Sites
May 2,Sunday,International Family Equality Day
May 8,Saturday,World Ovarian Cancer Day
May 8,Saturday,World Red Cross and Red Crescent Day
May 12,Wednesday,International Nurses Day
May 20,Thursday,World Autoimmune / Autoinflammatory Arthritis Day
May 25,Tuesday,African Liberation Day
Aug 13,Friday,Friday the 13th
Aug 31,Tuesday,International Overdose Awareness Day
Sep 4,Saturday,World Sexual Health Day
Sep 7,Tuesday,Still's Disease Awareness Day
Sep 10,Friday,World Suicide Prevention Day
Sep 13,Monday,International Programmers' Day
Sep 23,Thursday,International Celebrate Bisexuality Day
Sep 28,Tuesday,World Rabies Day
Sep 29,Wednesday,World Heart Day
Oct 1,Friday,World Vegetarian Day
Oct 6,Wednesday,World Cerebral Palsy Day
Oct 14,Thursday,World Sight Day
Oct 29,Friday,World Stroke Day
Nov 1,Monday,World Vegan Day
Nov 11,Thursday,Singles' Day
Nov 12,Friday,World Pneumonia Day
Nov 17,Wednesday,World Prematurity Day
Nov 19,Friday,International Men's Day
Nov 19,Friday,Fake Friday
Nov 20,Saturday,Transgender Day of Remembrance
Nov 30,Tuesday,GivingTuesday
Dec 13,Monday,Green Monday
Dec 18,Saturday,Super Saturday
