Jan 7,Monday,International Programmers' Day
Jan 20,Sunday,World Religion Day
Jan 26,Saturday,International Customs Day
Jan 27,Sunday,World Leprosy Day
Feb 2,Saturday,World Wetlands Day
Feb 4,Monday,World Cancer Day
Feb 11,Monday,World Day of the Sick
1 Mar,Friday,Self-Injury Awareness Day
Mar 14,Thursday,World Kidney Day
Mar 15,Friday,Long Covid Awareness Day
Mar 30,Saturday,Earth Hour
Mar 31,Sunday,International Transgender Day of Visibility
Apr 1,Monday,April Fool's Day
Apr 15,Monday,World Art Day
Apr 18,Thursday,International Day for Monuments and Sites
May 5,Sunday,International Family Equality Day
May 8,Wednesday,World Ovarian Cancer Day
May 8,Wednesday,World Red Cross and Red Crescent Day
May 12,Sunday,International Nurses Day
May 20,Monday,World Autoimmune / Autoinflammatory Arthritis Day
May 25,Saturday,African Liberation Day
Aug 31,Saturday,International Overdose Awareness Day
Sep 4,Wednesday,World Sexual Health Day
Sep 7,Saturday,Still's Disease Awareness Day
Sep 10,Tuesday,World Suicide Prevention Day
Sep 13,Friday,International Programmers' Day
Sep 13,Friday,Friday the 13th
Sep 23,Monday,International Celebrate Bisexuality Day
Sep 28,Saturday,World Rabies Day
Sep 29,Sunday,World Heart Day
Oct 1,Tuesday,World Vegetarian Day
Oct 6,Sunday,World Cerebral Palsy Day
Oct 10,Thursday,World Sight Day
Oct 29,Tuesday,World Stroke Day
Nov 1,Friday,World Vegan Day
Nov 11,Monday,Singles' Day
Nov 12,Tuesday,World Pneumonia Day
Nov 17,Sunday,World Prematurity Day
Nov 19,Tuesday,International Men's Day
Nov 20,Wednesday,Transgender Day of Remembrance
Nov 22,Friday,Fake Friday
Dec 3,Tuesday,GivingTuesday
Dec 9,Monday,Green Monday
Dec 13,Friday,Friday the 13th
Dec 21,Saturday,Super Saturday
